FIPStxt,State,Area name,Rural-urban continuum code 2013,Attribute,Value
0,US,United States,,Population 1990,248790925
0,US,United States,,Population 2000,281424600
0,US,United States,,Population 2010,308745538
0,US,United States,,Population 2020,331449281
1000,AL,Alabama,,Population 1990,4040389
1000,AL,Alabama,,Population 2000,4447207
1000,AL,Alabama,,Population 2010,4779736
1000,AL,Alabama,,Population 2020,5024279
1001,AL,Autauga County,2,Population 1990,34222
1001,AL,Autauga County,2,Population 2000,43751
1001,AL,Autauga County,2,Population 2010,54571
1001,AL,Autauga County,2,Population 2020,58805
1003,AL,Baldwin County,3,Population 1990,98280
1003,AL,Baldwin County,3,Population 2000,140416
1003,AL,Baldwin County,3,Population 2010,182265
1003,AL,Baldwin County,3,Population 2020,231767
1005,AL,Barbour County,6,Population 1990,25417
1005,AL,Barbour County,6,Population 2000,29042
1005,AL,Barbour County,6,Population 2010,27457
1005,AL,Barbour County,6,Population 2020,25223
1007,AL,Bibb County,1,Population 1990,16598
1007,AL,Bibb County,1,Population 2000,19856
1007,AL,Bibb County,1,Population 2010,22915
1007,AL,Bibb County,1,Population 2020,22293
1009,AL,Blount County,1,Population 1990,39248
1009,AL,Blount County,1,Population 2000,50982
1009,AL,Blount County,1,Population 2010,57322
1009,AL,Blount County,1,Population 2020,59134
1011,AL,Bullock County,6,Population 1990,11042
1011,AL,Bullock County,6,Population 2000,11603
1011,AL,Bullock County,6,Population 2010,10914
1011,AL,Bullock County,6,Population 2020,10357
1013,AL,Butler County,6,Population 1990,21892
1013,AL,Butler County,6,Population 2000,21394
1013,AL,Butler County,6,Population 2010,20947
1013,AL,Butler County,6,Population 2020,19051
1015,AL,Calhoun County,3,Population 1990,116032
1015,AL,Calhoun County,3,Population 2000,111882
1015,AL,Calhoun County,3,Population 2010,118572
1015,AL,Calhoun County,3,Population 2020,116441
1017,AL,Chambers County,6,Population 1990,36876
1017,AL,Chambers County,6,Population 2000,36600
1017,AL,Chambers County,6,Population 2010,34215
1017,AL,Chambers County,6,Population 2020,34772
1019,AL,Cherokee County,6,Population 1990,19543
1019,AL,Cherokee County,6,Population 2000,23909
1019,AL,Cherokee County,6,Population 2010,25989
1019,AL,Cherokee County,6,Population 2020,24971
1021,AL,Chilton County,1,Population 1990,32458
1021,AL,Chilton County,1,Population 2000,39604
1021,AL,Chilton County,1,Population 2010,43643
1021,AL,Chilton County,1,Population 2020,45014
1023,AL,Choctaw County,9,Population 1990,16018
1023,AL,Choctaw County,9,Population 2000,15953
1023,AL,Choctaw County,9,Population 2010,13859
1023,AL,Choctaw County,9,Population 2020,12665
1025,AL,Clarke County,7,Population 1990,27240
1025,AL,Clarke County,7,Population 2000,27870
1025,AL,Clarke County,7,Population 2010,25833
